date_id,AdGroupId,AdGroupName,site_name,exchange_name,campaign_advertiser,campaign_budget,campaign_id,campaign_name,keywordid,keyword_name,device_id,device_browser,match_type,keyword_quality_score,position,impressions,CTR,clicks,currency
8/1/2016,2,Shoulder Bag,Google Search Network,Google Search,MarTechApe,3500,4,Mobile Always-On,4,+designer bag,2,Mobile devices with full browsers,Broad,8,1.9,644337,1.97,12693,USD
8/1/2016,3,Tote,Google Search Network,Google Search,MarTechApe,4900,3,Always-On,4,+designer bag,1,Computers,Broad,1,1.9,106155,1.22,1295,USD
8/1/2016,5,Small Leather,Google Search Network,Google Search,MarTechApe,5600,3,Always-On,1,designer bag,2,Mobile devices with full browsers,Exact,3,6.7,7109,2.65,188,USD
8/1/2016,4,Wallet,Google Search Network,Google Search,MarTechApe,1400,4,Mobile Always-On,5,+handbag,3,Tablets with full browsers,Broad,9,7.9,655689,1.54,10097,USD
8/1/2016,5,Small Leather,Google Search Network,Google Search,MarTechApe,7000,2,New Product Launch,4,+designer bag,2,Mobile devices with full browsers,Broad,4,5,893125,2.85,25454,USD
8/1/2016,3,Tote,Google Search Network,Google Search,MarTechApe,8400,2,New Product Launch,5,+handbag,2,Mobile devices with full browsers,Broad,2,3.2,494616,1.52,7518,USD
8/1/2016,3,Tote,Google Search Network,Google Search,MarTechApe,1400,2,New Product Launch,2,handbag,2,Mobile devices with full browsers,Exact,8,4.2,46934,2.7,1267,USD
8/1/2016,5,Small Leather,Google Search Network,Google Search,MarTechApe,4900,2,New Product Launch,3,wallet,1,Computers,Exact,10,6.2,132949,2.7,3589,USD
8/1/2016,3,Tote,Google Search Network,Google Search,MarTechApe,8400,4,Mobile Always-On,4,+designer bag,2,Mobile devices with full browsers,Broad,8,2,738404,1.16,8565,USD
8/1/2016,2,Shoulder Bag,Google Search Network,Google Search,MarTechApe,9800,2,New Product Launch,1,designer bag,3,Tablets with full browsers,Exact,9,6.2,580624,2.73,15851,USD
8/1/2016,2,Shoulder Bag,Google Search Network,Google Search,MarTechApe,9800,2,New Product Launch,3,wallet,3,Tablets with full browsers,Exact,9,3.9,616254,2.96,18241,USD
8/1/2016,1,Cross Body Bag,Google Search Network,Google Search,MarTechApe,1400,4,Mobile Always-On,4,+designer bag,3,Tablets with full browsers,Broad,4,1.8,338778,2.13,7215,USD
8/1/2016,1,Cross Body Bag,Google Search Network,Google Search,MarTechApe,9800,2,New Product Launch,5,+handbag,2,Mobile devices with full browsers,Broad,2,4.2,112278,2.33,2616,USD
8/1/2016,1,Cross Body Bag,Google Search Network,Google Search,MarTechApe,5600,1,Branding Campaign,4,+designer bag,1,Computers,Broad,9,8,881051,2.21,19471,USD
8/1/2016,6,Accessories,Google Search Network,Google Search,MarTechApe,7700,2,New Product Launch,6,+wallet,3,Tablets with full browsers,Broad,10,8.2,665548,1.47,9783,USD
8/1/2016,6,Accessories,Google Search Network,Google Search,MarTechApe,3500,2,New Product Launch,3,wallet,2,Mobile devices with full browsers,Exact,8,6,102623,2.88,2955,USD
8/1/2016,4,Wallet,Google Search Network,Google Search,MarTechApe,4900,2,New Product Launch,5,+handbag,2,Mobile devices with full browsers,Broad,3,7.9,554403,2.16,11975,USD
8/1/2016,1,Cross Body Bag,Google Search Network,Google Search,MarTechApe,6300,1,Branding Campaign,3,wallet,2,Mobile devices with full browsers,Exact,9,3.4,712916,2.6,18535,USD
8/1/2016,2,Shoulder Bag,Google Search Network,Google Search,MarTechApe,4900,4,Mobile Always-On,5,+handbag,3,Tablets with full browsers,Broad,6,6.7,359006,1.43,5133,USD
