Date,Campaign Name,Site Name,Placement,Ad Name,Ad Format,Ad Size,Served Impressions,Clicks,Video Started,Video Fully Played
1/6/2014,Always-On,BuzzFeed,P11125,Tracking Pixel,Tracking Pixel,1x1,"572,062","1,086",0,0
1/6/2014,Always-On,BuzzFeed,P11138,Bag 300x250,Standard Banner,300x250,"961,963","31,359",0,0
1/6/2014,Always-On,BuzzFeed,P11204,New Product 300x600,Mobile Rich Media,300x600,"1,755,188","62,660",0,0
1/6/2014,Always-On,Fox Sports,P11165,Wallet FEP,In-Stream Video,1920x1080,"850,276","38,602","833,270","708,279"
1/6/2014,Always-On,Hulu,P11157,New Product 300x600,Mobile Rich Media,300x600,"714,774","29,377","507,489","274,044"
1/6/2014,Always-On,Hulu,P11196,Bag 300x250,Standard Banner,300x250,"1,880,259","44,374","1,729,838","1,228,184"
1/6/2014,Always-On,NBCUni.com,P11146,SL 728x90,In-Stream Tracking,728x90,"1,082,061","51,073",0,0
1/6/2014,Always-On,Pandora Mobile US,P11209,Wallet FEP,In-Stream Video,1920x1080,"653,487","8,495","529,324","307,007"
1/6/2014,Always-On,YouTube US,P11114,New Product 300x600,Mobile Rich Media,300x600,"1,592,439","48,728","1,465,043","586,017"
1/6/2014,Mobile Always-On,VEVO US,P11161,Wallet FEP,In-Stream Video,1920x1080,"430,845","20,378","387,760","286,942"
1/6/2014,Website Traffic,CBS Interactive US,P11139,New Product 300x600,Mobile Rich Media,300x600,"659,516","2,638",0,0
1/6/2014,Mobile Always-On,YouTube US,P11190,SL 728x90,In-Stream Tracking,728x90,"971,107","23,597","815,729","758,627"
1/6/2014,Website Traffic,Mobvious,P11167,Bag 300x250,Standard Banner,300x250,"1,062,334","50,248",0,0
1/6/2014,Website Traffic,Fox Sports,P11165,Wallet FEP,In-Stream Video,1920x1080,"1,401,310","69,224","1,345,257","901,322"
1/6/2014,Branding Campaign,CBS Interactive US,P11206,Wallet FEP,In-Stream Video,1920x1080,"171,727",343,"121,926","53,647"
1/6/2014,Mobile Always-On,Fox Sports,P11165,Tracking Pixel,Tracking Pixel,1x1,"575,953","21,828",0,0
1/6/2014,Branding Campaign,CBS Interactive US,P11243,Bag 300x250,Standard Banner,300x250,"1,081,017","8,323",0,0
1/6/2014,Mobile Always-On,Fox Sports,P11185,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"529,641","28,918","402,527","221,389"
1/6/2014,Always-On,YouTube US,P11163,Wallet 300x250,HTML5 Standard Banner,300x250,"1,748,548","92,323","1,433,809","1,376,456"
1/6/2014,Website Traffic,Mobvious,P11134,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,482,618","16,753","1,423,313","811,288"
1/6/2014,Website Traffic,NBCUni.com,P11166,Wallet 300x250,HTML5 Standard Banner,300x250,"313,196","1,503",0,0
1/6/2014,Branding Campaign,Hulu,P11181,Tracking Pixel,Tracking Pixel,1x1,"1,985,608","72,276","1,449,493","1,232,069"
1/6/2014,Mobile Always-On,Mobvious,P11140,Wallet 300x250,HTML5 Standard Banner,300x250,"838,862","10,066",0,0
1/6/2014,Mobile Always-On,NBCUni.com,P11200,Tracking Pixel,Tracking Pixel,1x1,"1,076,985","51,479",0,0
1/6/2014,Mobile Always-On,Pandora Mobile US,P11319,Bag 300x250,Standard Banner,300x250,"239,210","5,262",0,0
1/6/2014,Always-On,Mobvious,P11168,Tracking Pixel,Tracking Pixel,1x1,"1,052,601","49,366",0,0
1/6/2014,Website Traffic,Pandora.com,P11208,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,556,452","16,187","1,307,419","1,215,899"
1/6/2014,Website Traffic,VEVO US,P11116,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"278,008","8,312","202,945","140,032"
1/6/2014,Website Traffic,VEVO US,P11123,Wallet FEP,In-Stream Video,1920x1080,"2,050,980","9,639","1,620,274","761,528"
1/6/2014,Website Traffic,VEVO US,P11137,New Product 300x600,Mobile Rich Media,300x600,"204,115","3,204",0,0
1/6/2014,Website Traffic,VEVO US,P11159,Wallet 300x250,HTML5 Standard Banner,300x250,"1,247,365","58,251",0,0
1/6/2014,Branding Campaign,NBCUni.com,P11166,Wallet 300x250,HTML5 Standard Banner,300x250,"327,539","14,215",0,0
1/6/2014,Mobile Always-On,Pandora Mobile US,P11349,Wallet 300x250,HTML5 Standard Banner,300x250,"809,395","36,341",0,0
1/6/2014,Mobile Always-On,Pandora Mobile US,P11297,Wallet FEP,In-Stream Video,1920x1080,"5,125",65,"4,663","2,144"
1/6/2014,Mobile Always-On,Hulu,P11196,New Product 300x600,Mobile Rich Media,300x600,"1,850,638","93,087","1,647,067","1,004,710"
1/6/2014,Branding Campaign,YouTube US,P11286,SL 728x90,In-Stream Tracking,728x90,"1,014,966","33,290",0,0
1/6/2014,Branding Campaign,YouTube US,P11312,Wallet 300x250,HTML5 Standard Banner,300x250,"1,671,737","58,677",0,0
1/13/2014,Mobile Always-On,BuzzFeed,P11125,Tracking Pixel,Tracking Pixel,1x1,"926,002","34,169",0,0
1/13/2014,Website Traffic,BuzzFeed,P11170,Wallet FEP,In-Stream Video,1920x1080,"1,914,620","104,729","1,704,011","749,764"
1/13/2014,Always-On,BuzzFeed,P11125,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"953,971","43,787","715,478","522,298"
1/13/2014,Always-On,BuzzFeed,P11125,Tracking Pixel,Tracking Pixel,1x1,"227,372","9,595",0,0
1/13/2014,Always-On,BuzzFeed,P11144,SL 728x90,In-Stream Tracking,728x90,"818,119","13,089",0,0
1/13/2014,Always-On,CBS Interactive US,P11139,SL 728x90,In-Stream Tracking,728x90,"1,329,035","64,724",0,0
1/13/2014,Always-On,Fox Sports,P11126,Wallet FEP,In-Stream Video,1920x1080,"962,705","33,598","712,401","612,664"
1/13/2014,Always-On,Fox Sports,P11145,Wallet 300x250,HTML5 Standard Banner,300x250,"837,178","40,100",0,0
1/13/2014,Always-On,Mobvious,P11140,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,123,147","30,661","977,137","801,252"
1/13/2014,Always-On,NBCUni.com,P11146,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,911,183","38,988","1,872,959","1,685,663"
1/13/2014,Branding Campaign,CBS Interactive US,P11119,Tracking Pixel,Tracking Pixel,1x1,"228,753","3,316",0,0
1/13/2014,Mobile Always-On,Fox Sports,P11218,Wallet 300x250,HTML5 Standard Banner,300x250,"450,820","17,086",0,0
1/13/2014,Branding Campaign,CBS Interactive US,P11139,Tracking Pixel,Tracking Pixel,1x1,"360,882","5,774",0,0
1/13/2014,Website Traffic,Mobvious,P11192,Bag 300x250,Standard Banner,300x250,"935,120","8,042",0,0
1/13/2014,Website Traffic,NBCUni.com,P11146,New Product 300x600,Mobile Rich Media,300x600,"1,133,773","44,330",0,0
1/13/2014,Branding Campaign,Hulu,P11157,Bag 300x250,Standard Banner,300x250,"540,610","20,759","470,330","291,604"
1/13/2014,Branding Campaign,IHeartRadio.com,P11131,Wallet 300x250,HTML5 Standard Banner,300x250,"537,299","9,349",0,0
1/13/2014,Branding Campaign,Hulu,P11193,SL 728x90,In-Stream Tracking,728x90,"1,604,720","7,863","1,476,342","1,151,546"
1/13/2014,Website Traffic,Pandora Mobile US,P11118,Wallet 300x250,HTML5 Standard Banner,300x250,"154,428","4,246",0,0
1/13/2014,Mobile Always-On,Mobvious,P11132,Tracking Pixel,Tracking Pixel,1x1,"1,776,271","45,472",0,0
1/13/2014,Mobile Always-On,NBCUni.com,P11146,SL 728x90,In-Stream Tracking,728x90,"709,585","28,028",0,0
1/13/2014,Website Traffic,VEVO US,P11113,Wallet 300x250,HTML5 Standard Banner,300x250,"1,723,116","38,770",0,0
1/13/2014,Website Traffic,Pandora.com,P11179,Tracking Pixel,Tracking Pixel,1x1,"1,142,080","37,346",0,0
1/13/2014,Mobile Always-On,Pandora Mobile US,P11349,Wallet FEP,In-Stream Video,1920x1080,"1,769,331","12,916","1,627,784","813,892"
1/13/2014,Mobile Always-On,Pandora Mobile US,P11202,SL 728x90,In-Stream Tracking,728x90,"155,871","8,042",0,0
