DMA Code,DMA Name,TOTAL HH
662,Abilene-Sweetwater,121200
525,"Albany, GA",152700
532,Albany-Schenectady-Troy,574700
790,Albuquerque-Santa Fe,748300
644,"Alexandria, LA",92900
583,Alpena,17600
634,Amarillo,206400
743,Anchorage,171700
524,Atlanta,2520200
520,Augusta-Aiken,274700
635,Austin,824700
800,Bakersfield,238200
512,Baltimore,1152000
537,Bangor,148100
716,Baton Rouge,350800
692,Beaumont-Port Arthur,175200
821,"Bend, OR",71500
756,Billings,120200
746,Biloxi-Gulfport,137500
502,Binghamton,140300
630,Birmingham (Ann and Tusc),750000
559,Bluefield-Beckley-Oak Hill,138100
757,Boise,289800
506,Boston (Manchester),2575000
736,Bowling Green,86100
514,Buffalo,647800
523,Burlington-Plattsburgh,349200
754,Butte-Bozeman,76500
767,Casper-Riverton,61200
637,Cedar Rapids-Wtrlo-IWC&Dub,366800
648,Champaign&Sprngfld-Decatur,396900
519,"Charleston, SC",349800
564,Charleston-Huntington,469500
517,Charlotte,1223200
584,Charlottesville,82800
575,Chattanooga,376200
759,Cheyenne-Scottsbluff,60300
602,Chicago,3612900
868,Chico-Redding,206100
515,Cincinnati,925800
598,Clarksburg-Weston,111500
510,Cleveland-Akron (Canton),1568400
752,Colorado Springs-Pueblo,376300
546,"Columbia, SC",425700
604,Columbia-Jefferson City,186700
522,"Columbus, GA (Opelika, AL)",233200
535,"Columbus, OH",986900
673,Columbus-Tupelo-W Pnt-Hstn,194400
600,Corpus Christi,221700
623,Dallas-Ft. Worth,2786200
682,Davenport-R.Island-Moline,316100
542,Dayton,489000
751,Denver,1760300
679,Des Moines-Ames,461100
505,Detroit,1919100
606,Dothan,104200
676,Duluth-Superior,181300
765,El Paso (Las Cruces),358200
565,Elmira (Corning),100300
516,Erie,162400
801,Eugene,261100
802,Eureka,66700
649,Evansville,297200
745,Fairbanks,40600
724,Fargo-Valley City,270200
513,Flint-Saginaw-Bay City,460000
866,Fresno-Visalia,612700
571,Ft. Myers-Naples,547900
670,Ft. Smith-Fay-Sprngdl-Rgrs,320300
509,Ft. Wayne,280700
592,Gainesville,135200
798,Glendive,4700
773,Grand Junction-Montrose,75200
