Period,Month,CCI,National TV GRPs,Magazine GRPs,Paid Search,Display,Facebook Impressions,Wechat,Sales Event,Black Friday,July 4th,Comp Media Spend,Sales,DisplayAlwaysOnImpression,DisplayBrandingImpression,DisplayWebsiteImpression,DisplayHolidayImpression,SearchBrandingclicks,SearchAlwasyOnclicks,SearchWebsiteclicks,FacebookBrandingImpressions,FacebookHolidayImpressions,FacebookOtherImpressions
1/6/14,1/1/14,81,82,15,322562,36699907,10912086,451,0,0,0,30331,191228,20191419,6252594,10255894,0,103017,164915,54630,10912086,0,0
1/13/14,1/1/14,81,72,15,287279,37155907,10231860,462,0,0,0,30331,200741,20377046,6954673,9824188,0,74678,108301,104300,10231860,0,0
1/20/14,1/1/14,81,82,15,298089,41136934,9519178,558,0,0,0,30331,214381,21822504,5098543,14215887,0,76437,133055,88597,9519178,0,0
1/27/14,1/1/14,82,80,20,393145,39993325,3705699,507,0,0,0,30331,222694,19889110,0,20104215,0,82677,178666,131802,3705699,0,0
2/3/14,2/1/14,82,62,20,407856,41066571,9695603,609,0,0,0,25199,224297,22439345,2282690,16344536,0,88491,250863,68502,9695603,0,0
2/10/14,2/1/14,82,72,20,347645,31835679,8906979,507,0,0,0,25199,222128,13171416,8289094,10375169,0,98239,162350,87056,8906979,0,0
2/17/14,2/1/14,82,69,20,349324,39635317,7411653,609,0,0,0,25199,226964,25204778,9519471,4911068,0,47941,194609,106774,7411653,0,0
2/24/14,2/1/14,80,88,15,348796,40288150,8259165,546,0,0,0,25199,225147,23829032,9326058,7133060,0,68944,194390,85462,8259165,0,0
3/3/14,3/1/14,80,64,15,366332,39089888,5847489,483,0,0,0,25199,227055,24157382,0,14932506,0,87823,175811,102698,5847489,0,0
3/10/14,3/1/14,80,80,15,374213,42263951,8186571,483,0,0,0,25199,222326,22617281,0,19646670,0,99707,188083,86423,8186571,0,0
3/17/14,3/1/14,80,64,15,355610,36130922,5828062,653,0,0,0,25199,222850,21358437,0,14772485,0,86284,180448,88878,5828062,0,0
3/24/14,3/1/14,80,87,15,323530,38516795,0,720,0,0,0,25199,220453,21034294,0,17482501,0,111463,167011,45056,0,0,0
3/31/14,3/1/14,84,77,0,296905,42807961,6608543,788,0,0,0,25199,220873,16259438,0,26548523,0,46402,187068,63435,6608543,0,0
4/7/14,4/1/14,84,70,0,457996,39708555,0,518,0,0,0,28457,224793,21609847,0,18098708,0,87576,231537,138883,0,0,0
4/14/14,4/1/14,84,65,0,294851,39284513,11504439,585,0,0,0,28457,209339,15619430,0,23665083,0,133636,72706,88509,11504439,0,0
4/21/14,4/1/14,84,70,0,315749,48400992,5625945,663,0,0,0,28457,214215,22230114,0,26170878,0,102603,130947,82199,5625945,0,0
4/28/14,4/1/14,82,59,19,345122,36450578,10241105,740,0,0,0,28457,209273,12291716,0,24158862,0,94800,154114,96208,10241105,0,0
5/5/14,5/1/14,82,55,19,395920,42286338,15524325,663,0,0,0,20182,216865,16040604,0,26245734,0,73464,241495,80961,15524325,0,0
5/12/14,5/1/14,82,55,19,319209,35542399,19298410,740,0,0,0,20182,222892,24270365,0,11272034,0,62141,175114,81954,19298410,0,0
5/19/14,5/1/14,82,58,19,305996,39990383,5432662,663,0,0,0,20182,227541,13380153,0,26610230,0,94946,112880,98170,5432662,0,0
5/26/14,5/1/14,83,55,14,360028,42081063,8750111,587,0,0,0,20182,223641,23270038,0,18811025,0,65621,216469,77938,8750111,0,0
6/2/14,6/1/14,83,59,14,319386,38538890,6503622,842,0,0,0,32450,218140,18866906,0,19671984,0,61905,178713,78768,6503622,0,0
