"Period","variable","value"
2014-01-06,"(Intercept)",152274.527747155
2014-01-13,"(Intercept)",152274.527747155
2014-01-20,"(Intercept)",152274.527747155
2014-01-27,"(Intercept)",152274.527747155
2014-02-03,"(Intercept)",152274.527747155
2014-02-10,"(Intercept)",152274.527747155
2014-02-17,"(Intercept)",152274.527747155
2014-02-24,"(Intercept)",152274.527747155
2014-03-03,"(Intercept)",152274.527747155
2014-03-10,"(Intercept)",152274.527747155
2014-03-17,"(Intercept)",152274.527747155
2014-03-24,"(Intercept)",152274.527747155
2014-03-31,"(Intercept)",152274.527747155
2014-04-07,"(Intercept)",152274.527747155
2014-04-14,"(Intercept)",152274.527747155
2014-04-21,"(Intercept)",152274.527747155
2014-04-28,"(Intercept)",152274.527747155
2014-05-05,"(Intercept)",152274.527747155
2014-05-12,"(Intercept)",152274.527747155
2014-05-19,"(Intercept)",152274.527747155
2014-05-26,"(Intercept)",152274.527747155
2014-06-02,"(Intercept)",152274.527747155
2014-06-09,"(Intercept)",152274.527747155
2014-06-16,"(Intercept)",152274.527747155
2014-06-23,"(Intercept)",152274.527747155
2014-06-30,"(Intercept)",152274.527747155
2014-07-07,"(Intercept)",152274.527747155
2014-07-14,"(Intercept)",152274.527747155
2014-07-21,"(Intercept)",152274.527747155
2014-07-28,"(Intercept)",152274.527747155
2014-08-04,"(Intercept)",152274.527747155
2014-08-11,"(Intercept)",152274.527747155
2014-08-18,"(Intercept)",152274.527747155
2014-08-25,"(Intercept)",152274.527747155
2014-09-01,"(Intercept)",152274.527747155
2014-09-08,"(Intercept)",152274.527747155
2014-09-15,"(Intercept)",152274.527747155
2014-09-22,"(Intercept)",152274.527747155
2014-09-29,"(Intercept)",152274.527747155
2014-10-06,"(Intercept)",152274.527747155
2014-10-13,"(Intercept)",152274.527747155
2014-10-20,"(Intercept)",152274.527747155
2014-10-27,"(Intercept)",152274.527747155
2014-11-03,"(Intercept)",152274.527747155
2014-11-10,"(Intercept)",152274.527747155
2014-11-17,"(Intercept)",152274.527747155
2014-11-24,"(Intercept)",152274.527747155
2014-12-01,"(Intercept)",152274.527747155
2014-12-08,"(Intercept)",152274.527747155
2014-12-15,"(Intercept)",152274.527747155
2014-12-22,"(Intercept)",152274.527747155
2014-12-29,"(Intercept)",152274.527747155
2015-01-05,"(Intercept)",152274.527747155
2015-01-12,"(Intercept)",152274.527747155
2015-01-19,"(Intercept)",152274.527747155
2015-01-26,"(Intercept)",152274.527747155
2015-02-02,"(Intercept)",152274.527747155
2015-02-09,"(Intercept)",152274.527747155
2015-02-16,"(Intercept)",152274.527747155
2015-02-23,"(Intercept)",152274.527747155
2015-03-02,"(Intercept)",152274.527747155
2015-03-09,"(Intercept)",152274.527747155
2015-03-16,"(Intercept)",152274.527747155
2015-03-23,"(Intercept)",152274.527747155
2015-03-30,"(Intercept)",152274.527747155
2015-04-06,"(Intercept)",152274.527747155
2015-04-13,"(Intercept)",152274.527747155
2015-04-20,"(Intercept)",152274.527747155
2015-04-27,"(Intercept)",152274.527747155
2015-05-04,"(Intercept)",152274.527747155
2015-05-11,"(Intercept)",152274.527747155
2015-05-18,"(Intercept)",152274.527747155
2015-05-25,"(Intercept)",152274.527747155
2015-06-01,"(Intercept)",152274.527747155
2015-06-08,"(Intercept)",152274.527747155
2015-06-15,"(Intercept)",152274.527747155
2015-06-22,"(Intercept)",152274.527747155
2015-06-29,"(Intercept)",152274.527747155
2015-07-06,"(Intercept)",152274.527747155
2015-07-13,"(Intercept)",152274.527747155
2015-07-20,"(Intercept)",152274.527747155
2015-07-27,"(Intercept)",152274.527747155
2015-08-03,"(Intercept)",152274.527747155
2015-08-10,"(Intercept)",152274.527747155
2015-08-17,"(Intercept)",152274.527747155
2015-08-24,"(Intercept)",152274.527747155
2015-08-31,"(Intercept)",152274.527747155
2015-09-07,"(Intercept)",152274.527747155
2015-09-14,"(Intercept)",152274.527747155
2015-09-21,"(Intercept)",152274.527747155
2015-09-28,"(Intercept)",152274.527747155
2015-10-05,"(Intercept)",152274.527747155
2015-10-12,"(Intercept)",152274.527747155
2015-10-19,"(Intercept)",152274.527747155
2015-10-26,"(Intercept)",152274.527747155
2015-11-02,"(Intercept)",152274.527747155
2015-11-09,"(Intercept)",152274.527747155
2015-11-16,"(Intercept)",152274.527747155
2015-11-23,"(Intercept)",152274.527747155
2015-11-30,"(Intercept)",152274.527747155
2015-12-07,"(Intercept)",152274.527747155
2015-12-14,"(Intercept)",152274.527747155
2015-12-21,"(Intercept)",152274.527747155
2015-12-28,"(Intercept)",152274.527747155
2016-01-04,"(Intercept)",152274.527747155
2016-01-11,"(Intercept)",152274.527747155
2016-01-18,"(Intercept)",152274.527747155
2016-01-25,"(Intercept)",152274.527747155
2016-02-01,"(Intercept)",152274.527747155
2016-02-08,"(Intercept)",152274.527747155
2016-02-15,"(Intercept)",152274.527747155
2016-02-22,"(Intercept)",152274.527747155
2016-02-29,"(Intercept)",152274.527747155
2016-03-07,"(Intercept)",152274.527747155
2016-03-14,"(Intercept)",152274.527747155
2016-03-21,"(Intercept)",152274.527747155
2016-03-28,"(Intercept)",152274.527747155
2016-04-04,"(Intercept)",152274.527747155
2016-04-11,"(Intercept)",152274.527747155
2016-04-18,"(Intercept)",152274.527747155
2016-04-25,"(Intercept)",152274.527747155
2016-05-02,"(Intercept)",152274.527747155
2016-05-09,"(Intercept)",152274.527747155
2016-05-16,"(Intercept)",152274.527747155
2016-05-23,"(Intercept)",152274.527747155
2016-05-30,"(Intercept)",152274.527747155
2016-06-06,"(Intercept)",152274.527747155
2016-06-13,"(Intercept)",152274.527747155
2016-06-20,"(Intercept)",152274.527747155
2016-06-27,"(Intercept)",152274.527747155
2016-07-04,"(Intercept)",152274.527747155
2016-07-11,"(Intercept)",152274.527747155
