Period,variable_model,VariableName,Activity,Spend
1/6/2014,NationalTV2,National TV,82,5844
1/13/2014,NationalTV2,National TV,72,5131
1/20/2014,NationalTV2,National TV,82,5844
1/27/2014,NationalTV2,National TV,80,5702
2/3/2014,NationalTV2,National TV,62,4969
2/10/2014,NationalTV2,National TV,72,5770
2/17/2014,NationalTV2,National TV,69,5530
2/24/2014,NationalTV2,National TV,88,7052
3/3/2014,NationalTV2,National TV,64,4205
3/10/2014,NationalTV2,National TV,80,5257
3/17/2014,NationalTV2,National TV,64,4205
3/24/2014,NationalTV2,National TV,87,5716
3/31/2014,NationalTV2,National TV,77,8739
4/7/2014,NationalTV2,National TV,70,7944
4/14/2014,NationalTV2,National TV,65,7377
4/21/2014,NationalTV2,National TV,70,7944
4/28/2014,NationalTV2,National TV,59,6696
5/5/2014,NationalTV2,National TV,55,6725
5/12/2014,NationalTV2,National TV,55,6725
5/19/2014,NationalTV2,National TV,58,7091
5/26/2014,NationalTV2,National TV,55,6725
6/2/2014,NationalTV2,National TV,59,6257
6/9/2014,NationalTV2,National TV,55,5832
6/16/2014,NationalTV2,National TV,53,5620
6/23/2014,NationalTV2,National TV,54,5726
6/30/2014,NationalTV2,National TV,66,7478
7/7/2014,NationalTV2,National TV,67,7591
7/14/2014,NationalTV2,National TV,64,7251
7/21/2014,NationalTV2,National TV,67,7591
7/28/2014,NationalTV2,National TV,56,6345
8/4/2014,NationalTV2,National TV,61,5901
8/11/2014,NationalTV2,National TV,59,5708
8/18/2014,NationalTV2,National TV,58,5611
8/25/2014,NationalTV2,National TV,61,5901
9/1/2014,NationalTV2,National TV,77,7126
9/8/2014,NationalTV2,National TV,89,8237
9/15/2014,NationalTV2,National TV,87,8052
9/22/2014,NationalTV2,National TV,90,8329
9/29/2014,NationalTV2,National TV,80,9064
10/6/2014,NationalTV2,National TV,66,7478
10/13/2014,NationalTV2,National TV,69,7818
10/20/2014,NationalTV2,National TV,53,6005
10/27/2014,NationalTV2,National TV,56,6345
11/3/2014,NationalTV2,National TV,46,4450
11/10/2014,NationalTV2,National TV,44,4256
11/17/2014,NationalTV2,National TV,43,4160
11/24/2014,NationalTV2,National TV,46,4450
12/1/2014,NationalTV2,National TV,32,2962
12/8/2014,NationalTV2,National TV,57,5275
12/15/2014,NationalTV2,National TV,64,5923
12/22/2014,NationalTV2,National TV,64,5923
12/29/2014,NationalTV2,National TV,65,6016
1/5/2015,NationalTV2,National TV,61,4348
1/12/2015,NationalTV2,National TV,65,4633
1/19/2015,NationalTV2,National TV,68,4846
1/26/2015,NationalTV2,National TV,62,4419
2/2/2015,NationalTV2,National TV,62,4969
2/9/2015,NationalTV2,National TV,48,3847
2/16/2015,NationalTV2,National TV,58,4648
2/23/2015,NationalTV2,National TV,52,4167
3/2/2015,NationalTV2,National TV,58,3811
3/9/2015,NationalTV2,National TV,60,3942
3/16/2015,NationalTV2,National TV,73,4797
3/23/2015,NationalTV2,National TV,53,3482
3/30/2015,NationalTV2,National TV,70,7944
4/6/2015,NationalTV2,National TV,51,5788
4/13/2015,NationalTV2,National TV,72,8171
4/20/2015,NationalTV2,National TV,63,7150
4/27/2015,NationalTV2,National TV,34,3859
5/4/2015,NationalTV2,National TV,46,5624
5/11/2015,NationalTV2,National TV,40,4891
5/18/2015,NationalTV2,National TV,45,5502
5/25/2015,NationalTV2,National TV,68,8314
6/1/2015,NationalTV2,National TV,62,6575
6/8/2015,NationalTV2,National TV,62,6575
6/15/2015,NationalTV2,National TV,48,5090
6/22/2015,NationalTV2,National TV,23,2439
6/29/2015,NationalTV2,National TV,42,4759
7/6/2015,NationalTV2,National TV,42,4759
7/13/2015,NationalTV2,National TV,50,5665
7/20/2015,NationalTV2,National TV,65,7365
7/27/2015,NationalTV2,National TV,63,7138
8/3/2015,NationalTV2,National TV,67,6481
8/10/2015,NationalTV2,National TV,60,5804
8/17/2015,NationalTV2,National TV,62,5998
8/24/2015,NationalTV2,National TV,64,6191
8/31/2015,NationalTV2,National TV,61,5646
9/7/2015,NationalTV2,National TV,59,5460
9/14/2015,NationalTV2,National TV,63,5831
9/21/2015,NationalTV2,National TV,72,6664
9/28/2015,NationalTV2,National TV,73,8271
10/5/2015,NationalTV2,National TV,70,7931
10/12/2015,NationalTV2,National TV,74,8384
10/19/2015,NationalTV2,National TV,70,7931
10/26/2015,NationalTV2,National TV,38,4305
11/2/2015,NationalTV2,National TV,36,3483
11/9/2015,NationalTV2,National TV,36,3483
11/16/2015,NationalTV2,National TV,39,3773
11/23/2015,NationalTV2,National TV,42,4063
11/30/2015,NationalTV2,National TV,42,3887
12/7/2015,NationalTV2,National TV,41,3795
12/14/2015,NationalTV2,National TV,40,3702
12/21/2015,NationalTV2,National TV,36,3332
12/28/2015,NationalTV2,National TV,55,5090
1/4/2016,NationalTV2,National TV,60,4276
1/11/2016,NationalTV2,National TV,64,4561
1/18/2016,NationalTV2,National TV,61,4348
1/25/2016,NationalTV2,National TV,62,4419
2/1/2016,NationalTV2,National TV,62,4969
2/8/2016,NationalTV2,National TV,67,5369
2/15/2016,NationalTV2,National TV,61,4889
2/22/2016,NationalTV2,National TV,63,5049
2/29/2016,NationalTV2,National TV,54,3548
3/7/2016,NationalTV2,National TV,72,4731
3/14/2016,NationalTV2,National TV,69,4534
3/21/2016,NationalTV2,National TV,84,5519
3/28/2016,NationalTV2,National TV,69,7831
4/4/2016,NationalTV2,National TV,70,7944
4/11/2016,NationalTV2,National TV,61,6923
4/18/2016,NationalTV2,National TV,76,8625
4/25/2016,NationalTV2,National TV,71,8058
5/2/2016,NationalTV2,National TV,56,6847
5/9/2016,NationalTV2,National TV,42,5135
5/16/2016,NationalTV2,National TV,46,5624
5/23/2016,NationalTV2,National TV,46,5624
5/30/2016,NationalTV2,National TV,46,4878
6/6/2016,NationalTV2,National TV,38,4030
6/13/2016,NationalTV2,National TV,38,4030
6/20/2016,NationalTV2,National TV,38,4030
6/27/2016,NationalTV2,National TV,36,4079
7/4/2016,NationalTV2,National TV,33,3739
7/11/2016,NationalTV2,National TV,33,3739
7/18/2016,NationalTV2,National TV,44,4985
7/25/2016,NationalTV2,National TV,64,7251
8/1/2016,NationalTV2,National TV,63,6094
8/8/2016,NationalTV2,National TV,69,6675
8/15/2016,NationalTV2,National TV,64,6191
8/22/2016,NationalTV2,National TV,63,6094
8/29/2016,NationalTV2,National TV,66,6108
9/5/2016,NationalTV2,National TV,76,7034
9/12/2016,NationalTV2,National TV,59,5460
9/19/2016,NationalTV2,National TV,54,4998
9/26/2016,NationalTV2,National TV,53,6005
10/3/2016,NationalTV2,National TV,56,6345
10/10/2016,NationalTV2,National TV,66,7478
10/17/2016,NationalTV2,National TV,61,6911
10/24/2016,NationalTV2,National TV,61,6911
10/31/2016,NationalTV2,National TV,43,4160
11/7/2016,NationalTV2,National TV,29,2805
11/14/2016,NationalTV2,National TV,29,2805
11/21/2016,NationalTV2,National TV,29,2805
11/28/2016,NationalTV2,National TV,30,2776
12/5/2016,NationalTV2,National TV,30,2776
12/12/2016,NationalTV2,National TV,30,2776
12/19/2016,NationalTV2,National TV,40,3702
12/26/2016,NationalTV2,National TV,50,4627
1/2/2017,NationalTV2,National TV,64,4561
1/9/2017,NationalTV2,National TV,77,5488
1/16/2017,NationalTV2,National TV,78,5559
1/23/2017,NationalTV2,National TV,79,5630
1/30/2017,NationalTV2,National TV,71,5690
2/6/2017,NationalTV2,National TV,72,5770
2/13/2017,NationalTV2,National TV,49,3927
2/20/2017,NationalTV2,National TV,57,4568
2/27/2017,NationalTV2,National TV,47,3088
3/6/2017,NationalTV2,National TV,70,4599
3/13/2017,NationalTV2,National TV,56,3680
3/20/2017,NationalTV2,National TV,63,4140
3/27/2017,NationalTV2,National TV,59,6696
4/3/2017,NationalTV2,National TV,60,6809
4/10/2017,NationalTV2,National TV,60,6809
4/17/2017,NationalTV2,National TV,46,5220
4/24/2017,NationalTV2,National TV,46,5220
5/1/2017,NationalTV2,National TV,46,5624
5/8/2017,NationalTV2,National TV,36,4402
5/15/2017,NationalTV2,National TV,36,4402
5/22/2017,NationalTV2,National TV,36,4402
5/29/2017,NationalTV2,National TV,36,3818
6/5/2017,NationalTV2,National TV,36,3818
6/12/2017,NationalTV2,National TV,36,3818
6/19/2017,NationalTV2,National TV,38,4030
6/26/2017,NationalTV2,National TV,36,4079
7/3/2017,NationalTV2,National TV,43,4872
7/10/2017,NationalTV2,National TV,57,6458
7/17/2017,NationalTV2,National TV,67,7591
7/24/2017,NationalTV2,National TV,45,5099
7/31/2017,NationalTV2,National TV,68,6578
8/7/2017,NationalTV2,National TV,39,3773
8/14/2017,NationalTV2,National TV,42,4063
8/21/2017,NationalTV2,National TV,47,4547
8/28/2017,NationalTV2,National TV,45,4165
9/4/2017,NationalTV2,National TV,54,4998
9/11/2017,NationalTV2,National TV,72,6664
