Media Channel,Campaign, Sales contribution ,Activity, Spend ,Effectiveness, Efficiency 
Display,Always On," $1,090,977 ",3982767303," $81,190 ",0.000273924, $13.44 
Display,Branding," $523,689 ",1911800005," $43,751 ",0.000273924, $11.97 
Display,Website," $518,301 ",1892131450," $50,249 ",0.000273924, $10.31 
Display,Holiday," $97,332 ",355324528," $14,210 ",0.000273924, $6.85 
Paid Search,Branding," $1,147,405 ",21258052," $215,843 ",0.053975087, $5.32 
Paid Search,Always On," $2,019,012 ",37435983," $415,163 ",0.053932385, $4.86 
Paid Search,Website," $777,407 ",14467498," $214,187 ",0.05373472, $3.63 
Facebook,Branding," $934,274 ",2575945041," $58,942 ",0.000362692, $15.85 
Facebook,Holiday," $430,233 ",1402609330," $35,789 ",0.000306738, $12.02 
Facebook,Other," $69,259 ",221182838," $5,743 ",0.000313131, $12.06 
