Media Channel,Original VS Optimized, Spend , Sales contribution , Efficiency , Total Sales ,,,,
National TV,Original," $274,552.4 "," $163,548.6 ", $2.8 ," $10,454,848.7 ",,,,
National TV,Optimized," $192,186.6 "," $132,040.1 ", $3.5 ," $10,858,743.2 ",,,,
Magazine,Original," $57,546.8 "," $220,072.8 ", $2.8 ," $10,858,743.2 ",,,,
Magazine,Optimized," $74,810.8 "," $286,094.7 ", $3.5 ," $10,858,743.2 ",,,,
Paid Search ,Original," $209,566.3 "," $1,082,200.0 ", $2.8 ," $10,858,743.2 ",,,,
Paid Search ,Optimized," $272,436.1 "," $1,406,859.9 ", $3.5 ," $10,858,743.2 ",,,,
Display,Original," $46,368.0 "," $63,489.6 ", $2.8 ," $10,858,743.2 ",,,,
Display,Optimized," $38,008.8 "," $53,618.9 ", $3.5 ," $10,858,743.2 ",,,,
Facebook,Original," $25,770.7 "," $48,458.1 ", $2.8 ," $10,858,743.2 ",,,,
Facebook,Optimized," $33,501.9 "," $60,564.6 ", $3.5 ," $10,858,743.2 ",,,,
Wechat,Original," $9,532.8 "," $170,055.9 ", $2.8 ," $10,858,743.2 ",,,,
Wechat,Optimized," $12,392.7 "," $212,541.4 ", $3.5 ," $10,858,743.2 ",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
