date_id,AdGroupId,AdGroupName,site_name,exchange_name,campaign_advertiser,campaign_budget,campaign_id,campaign_name,keywordid,keyword_name,device_id,device_browser,match_type,keyword_quality_score,position,impressions,CTR,clicks,currency
1/6/2014,6,Accessories,Google Search Network,Google Search,MarTechApe,7700,5,Landing Page,5,+handbag,3,Tablets with full browsers,Broad,10,3,238744,2.75,6565,USD
1/6/2014,3,Tote,Google Search Network,Google Search,MarTechApe,2800,3,Always-On,6,+wallet,3,Tablets with full browsers,Broad,7,1.5,109824,2.38,2613,USD
1/6/2014,1,Cross Body Bag,Google Search Network,Google Search,MarTechApe,7000,3,Always-On,5,+handbag,1,Computers,Broad,4,8.5,198457,1.89,3750,USD
1/6/2014,1,Cross Body Bag,Google Search Network,Google Search,MarTechApe,4200,3,Always-On,6,+wallet,2,Mobile devices with full browsers,Broad,2,3.3,258055,1.51,3896,USD
1/6/2014,3,Tote,Google Search Network,Google Search,MarTechApe,6300,1,Branding Campaign,2,handbag,1,Computers,Exact,6,6.8,243524,1.85,4505,USD
1/6/2014,2,Shoulder Bag,Google Search Network,Google Search,MarTechApe,2800,1,Branding Campaign,2,handbag,2,Mobile devices with full browsers,Exact,3,5.3,691224,2.9,20045,USD
1/6/2014,5,Small Leather,Google Search Network,Google Search,MarTechApe,7000,1,Branding Campaign,1,designer bag,2,Mobile devices with full browsers,Exact,10,6.5,247724,1.07,2650,USD
1/6/2014,2,Shoulder Bag,Google Search Network,Google Search,MarTechApe,1400,1,Branding Campaign,3,wallet,3,Tablets with full browsers,Exact,6,5.1,922838,2.27,20948,USD
1/6/2014,1,Cross Body Bag,Google Search Network,Google Search,MarTechApe,6300,4,Mobile Always-On,1,designer bag,3,Tablets with full browsers,Exact,6,7.7,512538,2.48,12710,USD
1/6/2014,6,Accessories,Google Search Network,Google Search,MarTechApe,10500,5,Landing Page,3,wallet,1,Computers,Exact,3,8.4,326393,1.7,5548,USD
1/6/2014,6,Accessories,Google Search Network,Google Search,MarTechApe,2800,1,Branding Campaign,5,+handbag,2,Mobile devices with full browsers,Broad,10,4.3,609612,2.33,14203,USD
1/6/2014,1,Cross Body Bag,Google Search Network,Google Search,MarTechApe,4900,5,Landing Page,4,+designer bag,2,Mobile devices with full browsers,Broad,4,3.4,92190,2.98,2747,USD
1/6/2014,2,Shoulder Bag,Google Search Network,Google Search,MarTechApe,7700,1,Branding Campaign,2,handbag,3,Tablets with full browsers,Exact,1,7,813208,2.2,17890,USD
1/6/2014,4,Wallet,Google Search Network,Google Search,MarTechApe,2800,4,Mobile Always-On,2,handbag,3,Tablets with full browsers,Exact,10,8.3,77336,2.75,2126,USD
1/6/2014,2,Shoulder Bag,Google Search Network,Google Search,MarTechApe,10500,4,Mobile Always-On,6,+wallet,2,Mobile devices with full browsers,Broad,10,5.7,985755,1.42,13997,USD
1/6/2014,1,Cross Body Bag,Google Search Network,Google Search,MarTechApe,1400,1,Branding Campaign,6,+wallet,3,Tablets with full browsers,Broad,4,5.8,623352,2.36,14711,USD
1/6/2014,3,Tote,Google Search Network,Google Search,MarTechApe,2800,5,Landing Page,3,wallet,2,Mobile devices with full browsers,Exact,6,6.6,224075,2.35,5265,USD
1/6/2014,3,Tote,Google Search Network,Google Search,MarTechApe,7000,4,Mobile Always-On,2,handbag,2,Mobile devices with full browsers,Exact,10,8.8,308830,2.54,7844,USD
1/6/2014,6,Accessories,Google Search Network,Google Search,MarTechApe,3500,4,Mobile Always-On,5,+handbag,2,Mobile devices with full browsers,Broad,9,8.4,22205,2.84,630,USD
1/6/2014,5,Small Leather,Google Search Network,Google Search,MarTechApe,6300,5,Landing Page,2,handbag,1,Computers,Exact,8,4.8,157329,1.59,2501,USD
1/6/2014,5,Small Leather,Google Search Network,Google Search,MarTechApe,4200,5,Landing Page,3,wallet,1,Computers,Exact,7,2.6,901520,2.86,25783,USD
1/6/2014,2,Shoulder Bag,Google Search Network,Google Search,MarTechApe,10500,4,Mobile Always-On,2,handbag,3,Tablets with full browsers,Exact,8,1,936634,2.81,26319,USD
1/6/2014,6,Accessories,Google Search Network,Google Search,MarTechApe,700,4,Mobile Always-On,6,+wallet,2,Mobile devices with full browsers,Broad,4,3.5,518992,1.26,6539,USD
1/6/2014,5,Small Leather,Google Search Network,Google Search,MarTechApe,9100,3,Always-On,5,+handbag,3,Tablets with full browsers,Broad,8,3.9,555206,2.22,12325,USD
1/6/2014,3,Tote,Google Search Network,Google Search,MarTechApe,7700,4,Mobile Always-On,1,designer bag,2,Mobile devices with full browsers,Exact,6,5.1,886299,2.03,17991,USD
1/6/2014,4,Wallet,Google Search Network,Google Search,MarTechApe,700,5,Landing Page,3,wallet,3,Tablets with full browsers,Exact,9,3,457472,1.36,6221,USD
1/6/2014,3,Tote,Google Search Network,Google Search,MarTechApe,3500,3,Always-On,3,wallet,2,Mobile devices with full browsers,Exact,2,8.5,282593,1.89,5341,USD
1/6/2014,3,Tote,Google Search Network,Google Search,MarTechApe,2800,3,Always-On,5,+handbag,3,Tablets with full browsers,Broad,8,3.1,191496,2.04,3906,USD
1/6/2014,1,Cross Body Bag,Google Search Network,Google Search,MarTechApe,2100,4,Mobile Always-On,6,+wallet,2,Mobile devices with full browsers,Broad,4,5.6,587274,1.18,6929,USD
1/6/2014,5,Small Leather,Google Search Network,Google Search,MarTechApe,8400,3,Always-On,4,+designer bag,3,Tablets with full browsers,Broad,4,6.4,364641,2.49,9079,USD
1/6/2014,3,Tote,Google Search Network,Google Search,MarTechApe,8400,1,Branding Campaign,1,designer bag,2,Mobile devices with full browsers,Exact,7,1.8,112162,1.91,2142,USD
1/6/2014,6,Accessories,Google Search Network,Google Search,MarTechApe,700,3,Always-On,4,+designer bag,1,Computers,Broad,8,6.9,371038,2.34,8682,USD
1/6/2014,5,Small Leather,Google Search Network,Google Search,MarTechApe,7000,4,Mobile Always-On,1,designer bag,3,Tablets with full browsers,Exact,10,6.3,435392,1.97,8577,USD
