Date,Campaign Name,Site Name,Placement,Ad Name,Ad Format,Ad Size,Served Impressions,Clicks,Video Started,Video Fully Played
8/1/2016,Mobile Always-On,BuzzFeed,P11204,SL 728x90,In-Stream Tracking,728x90,"1,756,241","49,350",0,0
8/1/2016,Mobile Always-On,BuzzFeed,P11204,Wallet FEP,In-Stream Video,1920x1080,"912,026","22,527","647,538","420,899"
8/1/2016,Website Conversions,Fox.com,P11197,Bag 300x250,Standard Banner,300x250,"484,609","10,952",0,0
8/1/2016,Always-On,Fox Sports,P11199,Bag 300x250,Standard Banner,300x250,"1,083,161","21,446",0,0
8/1/2016,Mobile Always-On,Pandora Mobile US,P11149,Tracking Pixel,Tracking Pixel,1x1,"1,659,235","70,517",0,0
8/1/2016,Always-On,CBS Interactive US,P11206,Wallet 300x250,HTML5 Standard Banner,300x250,"737,941","7,895",0,0
8/1/2016,Always-On,IHeartRadio.com,P11198,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,474,149","79,751","1,267,768","747,983"
8/1/2016,Always-On,BuzzFeed,P11170,Tracking Pixel,Tracking Pixel,1x1,"296,751","4,421",0,0
8/1/2016,Website Conversions,NBCUni.com,P11146,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,990,548","54,142","1,910,926","1,414,085"
8/1/2016,Always-On,IHeartRadio.com,P11215,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"993,086","29,395","774,607","464,764"
8/1/2016,Mobile Always-On,Pandora Mobile US,P11326,Bag 300x250,Standard Banner,300x250,"338,348","4,364",0,0
8/1/2016,Always-On,CBS Interactive US,P11119,Wallet 300x250,HTML5 Standard Banner,300x250,"1,085,533","48,414",0,0
8/1/2016,New Product Launch,VEVO US,P11178,Wallet 300x250,HTML5 Standard Banner,300x250,"929,252","37,077",0,0
8/1/2016,Always-On,NBCUni.com,P11146,SL 728x90,In-Stream Tracking,728x90,"770,193","15,018",0,0
8/1/2016,New Product Launch,NBCUni.com,P11153,Wallet 300x250,HTML5 Standard Banner,300x250,"403,240","21,008",0,0
8/1/2016,Always-On,NBCUni.com,P11177,Bag FEP,HTML5 In-Stream Enhanced Video,1920x1080,"1,279,845","62,584","959,883","671,918"
8/1/2016,Always-On,Hulu,P11191,Bag 300x250,Standard Banner,300x250,"793,722","2,857","634,977","539,730"
8/1/2016,Always-On,Hulu,P11130,Wallet 300x250,HTML5 Standard Banner,300x250,"642,622","27,825","584,786","274,849"
8/1/2016,Mobile Always-On,Pandora Mobile US,P11352,Wallet FEP,In-Stream Video,1920x1080,"845,180","27,383","709,951","475,667"
8/1/2016,Always-On,Pandora Mobile US,P11205,Tracking Pixel,Tracking Pixel,1x1,"1,455,081","45,544",0,0
8/1/2016,New Product Launch,NBCUni.com,P11166,New Product 300x600,Mobile Rich Media,300x600,"1,067,514","5,978",0,0
8/1/2016,New Product Launch,NBCUni.com,P11166,Wallet 300x250,HTML5 Standard Banner,300x250,"782,944","42,670",0,0
8/1/2016,Website Conversions,Pandora Mobile US,P11169,Wallet 300x250,HTML5 Standard Banner,300x250,"2,077,959","13,714",0,0
8/1/2016,Always-On,Pandora.com,P11179,New Product 300x600,Mobile Rich Media,300x600,"439,311","7,160",0,0
8/1/2016,Always-On,Pandora.com,P11179,Wallet FEP,In-Stream Video,1920x1080,"1,548,770","41,661","1,486,819","1,263,796"
8/1/2016,Website Conversions,Pandora.com,P11208,Tracking Pixel,Tracking Pixel,1x1,"1,700,769","41,328",0,0
8/1/2016,Always-On,Pandora Mobile US,P11169,Wallet 300x250,HTML5 Standard Banner,300x250,"1,051,639","19,875",0,0
8/1/2016,Mobile Always-On,Pandora.com,P11141,Bag 300x250,Standard Banner,300x250,"1,170,738","48,234",0,0
8/1/2016,New Product Launch,Pandora.com,P11203,Tracking Pixel,Tracking Pixel,1x1,"460,443","18,832",0,0
8/1/2016,Always-On,VEVO US,P11136,New Product 300x600,Mobile Rich Media,300x600,"1,434,663","30,701",0,0
8/1/2016,Mobile Always-On,Hulu,P11361,Wallet 300x250,HTML5 Standard Banner,300x250,"2,098,921","45,336",0,0
