Date,DMA,TV GRP,Magazine GRP
1/6/2014,Abilene-Sweetwater,82,15
1/6/2014,"Albany, GA",82,15
1/6/2014,Albany-Schenectady-Troy,82,15
1/6/2014,Albuquerque-Santa Fe,82,15
1/6/2014,"Alexandria, LA",82,15
1/6/2014,Alpena,82,15
1/6/2014,Amarillo,82,15
1/6/2014,Anchorage,82,15
1/6/2014,Atlanta,82,15
1/6/2014,Augusta-Aiken,82,15
1/6/2014,Austin,82,15
1/6/2014,Bakersfield,82,15
1/6/2014,Baltimore,82,15
1/6/2014,Bangor,82,15
1/6/2014,Baton Rouge,82,15
1/6/2014,Beaumont-Port Arthur,82,15
1/6/2014,"Bend, OR",82,15
1/6/2014,Billings,82,15
1/6/2014,Biloxi-Gulfport,82,15
1/6/2014,Binghamton,82,15
1/6/2014,Birmingham (Ann and Tusc),82,15
1/6/2014,Bluefield-Beckley-Oak Hill,82,15
1/6/2014,Boise,82,15
1/6/2014,Boston (Manchester),82,15
1/6/2014,Bowling Green,82,15
1/6/2014,Buffalo,82,15
1/6/2014,Burlington-Plattsburgh,82,15
1/6/2014,Butte-Bozeman,82,15
1/6/2014,Casper-Riverton,82,15
1/6/2014,Cedar Rapids-Wtrlo-IWC&Dub,82,15
1/6/2014,Champaign&Sprngfld-Decatur,82,15
1/6/2014,"Charleston, SC",82,15
1/6/2014,Charleston-Huntington,82,15
1/6/2014,Charlotte,82,15
1/6/2014,Charlottesville,82,15
1/6/2014,Chattanooga,82,15
1/6/2014,Cheyenne-Scottsbluff,82,15
1/6/2014,Chicago,82,15
1/6/2014,Chico-Redding,82,15
1/6/2014,Cincinnati,82,15
1/6/2014,Clarksburg-Weston,82,15
1/6/2014,Cleveland-Akron (Canton),82,15
1/6/2014,Colorado Springs-Pueblo,82,15
1/6/2014,"Columbia, SC",82,15
1/6/2014,Columbia-Jefferson City,82,15
1/6/2014,"Columbus, GA (Opelika, AL)",82,15
1/6/2014,"Columbus, OH",82,15
1/6/2014,Columbus-Tupelo-W Pnt-Hstn,82,15
1/6/2014,Corpus Christi,82,15
1/6/2014,Dallas-Ft. Worth,82,15
1/6/2014,Davenport-R.Island-Moline,82,15
1/6/2014,Dayton,82,15
1/6/2014,Denver,82,15
1/6/2014,Des Moines-Ames,82,15
1/6/2014,Detroit,82,15
1/6/2014,Dothan,82,15
1/6/2014,Duluth-Superior,82,15
1/6/2014,El Paso (Las Cruces),82,15
1/6/2014,Elmira (Corning),82,15
1/6/2014,Erie,82,15
1/6/2014,Eugene,82,15
1/6/2014,Eureka,82,15
